number,description,parent_code,level
0210020.04,Bijzondere waardeverminderingen machines en installaties,,5
0210020.05,Terugneming van bijzondere waardeverminderingen machines en installaties,,5
0210020.06,Herclassificatie afschrijvingen machines en installaties,,5
0210020.07,Overige mutaties afschrijvingen machines en installaties,,5
0210030.01,Beginbalans (overname eindsaldo vorig jaar) machines en installaties,,5
0210030.02,Herwaarderingen machines en installaties,,5
0210030.03,Afschrijving herwaarderingen machines en installaties,,5
0210030.04,Desinvestering herwaarderingen machines en installaties,,5
0210030.05,Herclassificatie herwaarderingen machines en installaties,,5
0210030.06,Overige mutaties herwaarderingen machines en installaties,,5
0214010.01,Beginbalans (overname eindsaldo vorig jaar) andere vaste bedrijfsmiddelen,,5
0214010.02,Investeringen andere vaste bedrijfsmiddelen,,5
0214010.05,Verwervingen via fusies en overnames andere vaste bedrijfsmiddelen,,5
0214010.06,Desinvesteringen andere vaste bedrijfsmiddelen,,5
0214010.07,Afstotingen andere vaste bedrijfsmiddelen,,5
0214010.08,Omrekeningsverschillen andere vaste bedrijfsmiddelen,,5
0214010.09,Overboekingen andere vaste bedrijfsmiddelen,,5
0214010.10,Overige mutaties andere vaste bedrijfsmiddelen,,5
0214015.01,Beginbalans (overname eindsaldo vorig jaar) andere vaste bedrijfsmiddelen,,5
0214015.02,Investeringen andere vaste bedrijfsmiddelen,,5
0214015.05,Verwervingen via fusies en overnames andere vaste bedrijfsmiddelen,,5
0214015.06,Desinvesteringen andere vaste bedrijfsmiddelen,,5
0214015.07,Afstotingen andere vaste bedrijfsmiddelen,,5
0214015.08,Omrekeningsverschillen andere vaste bedrijfsmiddelen,,5
0214015.09,Overboekingen andere vaste bedrijfsmiddelen,,5
0214015.10,Overige mutaties andere vaste bedrijfsmiddelen,,5
0214020.01,Beginbalans (overname eindsaldo vorig jaar) andere vaste bedrijfsmiddelen,,5
0214020.02,Afschrijvingen andere vaste bedrijfsmiddelen,,5
0214020.03,Afschrijving op desinvesteringen andere vaste bedrijfsmiddelen,,5
0214020.04,Bijzondere waardeverminderingen andere vaste bedrijfsmiddelen,,5
